case,purpose,status,metric,unit,expected,measured,error,limit,passed,error_message
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H3_frequency,Hz,30000.0,30000.0,0.0,1000.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H3_peak,mV,50.00805496363969,50.0,-0.008054963639686719,5.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,Upp,mV,250.0,250.6,0.5999999999999943,5.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,Urms,mV,76.5721732285551,76.6,0.027826771444892984,5.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H1_frequency,Hz,60000.0,60001.0,1.0,1000.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H1_peak,mV,97.95145311140304,97.9,-0.05145311140303477,5.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H3_frequency,Hz,180000.0,180002.0,2.0,1000.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H3_peak,mV,32.65048437046769,32.7,0.049515629532315586,5.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H6_frequency,Hz,360000.0,360004.0,4.0,1000.0,True,
T03_mid_60k_3to1to1,60 kHz，3:1:1比例，最高360 kHz,PASS,H6_peak,mV,32.65048437046769,32.9,0.24951562953231132,5.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,Upp,mV,250.0,250.3,0.30000000000001137,5.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,Urms,mV,66.81711177548401,66.9,0.08288822451599742,5.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H1_frequency,Hz,80000.0,80001.0,1.0,1000.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H1_peak,mV,11.490768038843816,11.5,0.009231961156183743,5.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H3_frequency,Hz,240000.0,240003.0,3.0,1000.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H3_peak,mV,60.326532203930036,60.4,0.07346779606996279,5.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H6_frequency,Hz,480000.0,480005.0,5.0,1000.0,True,
T04_80k_weak_fundamental,弱基波、强高次谐波，最高480 kHz,PASS,H6_peak,mV,71.81730024277385,71.9,0.08269975722615186,5.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,Upp,mV,250.0,250.2,0.19999999999998863,5.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,Urms,mV,66.11548801663317,66.2,0.08451198336683774,5.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H1_frequency,Hz,100000.0,100001.0,1.0,1000.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H1_peak,mV,6.930786356030625,6.9,-0.030786356030624518,5.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H3_frequency,Hz,300000.0,300003.0,3.0,1000.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H3_peak,mV,62.37707720427562,62.6,0.22292279572437934,5.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H5_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T05_100k_very_weak_fundamental_500k,极弱基波、强谐波，五次谐波正好500 kHz,PASS,H5_peak,mV,69.30786356030625,69.3,-0.007863560306248019,5.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,Upp,mV,250.0,250.0,0.0,5.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,Urms,mV,76.73578065796902,76.8,0.0642193420309809,5.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H1_frequency,Hz,100000.0,100001.0,1.0,1000.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H1_peak,mV,94.72470413984733,94.7,-0.024704139847329998,5.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H2_frequency,Hz,200000.0,200002.0,2.0,1000.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H2_peak,mV,47.362352069923666,47.5,0.13764793007633358,5.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H5_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T06_100k_descending_500k,100 kHz递减比例，五次谐波500 kHz,PASS,H5_peak,mV,23.681176034961833,23.7,0.01882396503816608,5.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,Upp,mV,250.0,250.1,0.09999999999999432,5.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,Urms,mV,63.97453953725557,64.0,0.025460462744426593,5.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H1_frequency,Hz,125000.0,125001.5,1.5,1000.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H1_peak,mV,52.23499279859481,52.2,-0.034992798594807084,5.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H3_frequency,Hz,375000.0,375004.0,4.0,1000.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H3_peak,mV,52.23499279859481,52.4,0.16500720140518865,5.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H4_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T07_125k_equal_500k,125/375/500 kHz三分量等幅边界,PASS,H4_peak,mV,52.23499279859481,52.1,-0.1349927985948085,5.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,Upp,mV,250.0,250.2,0.19999999999998863,5.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,Urms,mV,75.50536315971429,75.5,-0.005363159714292465,5.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H1_frequency,Hz,125000.0,125001.0,1.0,1000.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H1_peak,mV,87.18608349104301,87.1,-0.08608349104301283,5.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H3_frequency,Hz,375000.0,375004.0,4.0,1000.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H3_peak,mV,43.593041745521504,43.7,0.10695825447849927,5.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H4_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T08_125k_2to1to1_500k,125/375/500 kHz，2:1:1比例,PASS,H4_peak,mV,43.593041745521504,43.5,-0.09304174552150357,5.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,Upp,mV,250.0,250.45,0.44999999999998863,5.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,Urms,mV,73.88180897327501,73.95,0.068191026724989,5.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H1_frequency,Hz,166500.0,166502.0,2.0,1000.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H1_peak,mV,91.99361030358357,92.0,0.006389696416434276,5.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H2_frequency,Hz,333000.0,333004.0,4.0,1000.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H2_peak,mV,45.99680515179178,46.2,0.20319484820821998,5.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H3_frequency,Hz,499500.0,499506.0,6.0,1000.0,True,
T09_166p5k_near_500k,500 Hz频率网格，最高499.5 kHz,PASS,H3_peak,mV,18.398722060716715,18.4,0.001277939283284013,5.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,Upp,mV,250.0,250.0,0.0,5.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,Urms,mV,87.58338528497889,87.6,0.016614715021106008,5.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,H1_frequency,Hz,200000.0,200002.0,2.0,1000.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,H1_peak,mV,123.46714657648079,123.5,0.03285342351921372,5.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,H2_frequency,Hz,400000.0,400004.5,4.5,1000.0,True,
T10_200k_small_second,200/400 kHz双分量，小二次谐波,PASS,H2_peak,mV,9.877371726118463,9.9,0.022628273881537098,5.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,Upp,mV,250.0,249.6,-0.4000000000000057,5.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,Urms,mV,71.0157697263168,70.9,-0.11576972631679894,5.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,H1_frequency,Hz,249500.0,249503.0,3.0,1000.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,H1_peak,mV,71.0157697263168,71.0,-0.015769726316804622,5.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,H2_frequency,Hz,499000.0,499006.0,6.0,1000.0,True,
T11_249p5k_equal_near_boundary,249.5/499 kHz双分量近边界,PASS,H2_peak,mV,71.0157697263168,70.8,-0.21576972631680746,5.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,Upp,mV,250.0,250.0,0.0,5.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,Urms,mV,80.20342792330757,80.2,-0.0034279233075693583,5.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,H1_frequency,Hz,250000.0,250003.0,3.0,1000.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,H1_peak,mV,107.60419011901232,107.6,-0.004190119012321247,5.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,H2_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T12_250k_3to1_boundary,250/500 kHz双分量，3:1比例,PASS,H2_peak,mV,35.868063373004105,35.8,-0.06806337300410803,5.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,Upp,mV,250.0,249.3,-0.6999999999999886,5.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,Urms,mV,82.9156171061077,82.65,-0.2656171061076975,5.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,H1_frequency,Hz,250000.0,250003.0,3.0,1000.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,H1_peak,mV,11.667844923130874,11.7,0.032155076869125665,5.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,H2_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T13_250k_weak_fundamental_boundary,250/500 kHz，弱基波强二次谐波,PASS,H2_peak,mV,116.67844923130873,116.3,-0.37844923130873553,5.0,True,
T14_single_500k_boundary,500 kHz单频上边界,PASS,Upp,mV,250.0,249.4,-0.5999999999999943,5.0,True,
T14_single_500k_boundary,500 kHz单频上边界,PASS,Urms,mV,88.38834764831844,88.2,-0.18834764831844097,5.0,True,
T14_single_500k_boundary,500 kHz单频上边界,PASS,H1_frequency,Hz,500000.0,500000.0,0.0,1000.0,True,
T14_single_500k_boundary,500 kHz单频上边界,PASS,H1_peak,mV,125.0,124.7,-0.29999999999999716,5.0,True,
