"question","case_id","expression","fundamental_hz","signal_vpp_mv","jammer_frequency_hz","jammer_vpp_mv","expected_upp_mv","measured_upp_mv","expected_rms_mv","measured_rms_mv","expected_component_count","measured_component_count","signal_valid","response_s","response_note","stable_frame_count","adc_overrun_max","source_pass","source_file","component_start_index","component_end_index"
"第二题","Q2-02","1:0.55,12:1.00,25:0.65","20000","75",,,"75","76.7","22.270196347171488","22.8","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-02.json","29","31"
"第二题","Q2-03","1:0.50,5:1.00,10:0.70","50000","125",,,"125","127.9","29.524309704535721","30.2","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-03.json","32","34"
"第二题","Q2-04","1:0.45,3:1.00,6:0.60","80000","180",,,"180","182.1","47.279508321888677","47.8","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-04.json","35","37"
"第二题","Q2-05","1:0.40,3:1.00,5:0.55","100000","250",,,"250","253.3","67.217620173725649","68.1","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-05.json","38","40"
"第二题","Q2-06","1:1.00,7:0.55","70000","100",,,"100","102.2","27.744377133207877","28.3","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-06.json","41","42"
"第二题","Q2-07","1:0.85,2:0.60,4:1.00","120000","150",,,"150","152.1","41.961900490517024","42.5","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-07.json","43","45"
"第二题","Q2-08","1:1.00,2:0.70","250000","225",,,"225","227.7","65.687917781767283","66.4","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-08.json","46","47"
"第二题","Q2-09","1:0.60,2:1.00,3:0.80","160000","200",,,"200","202.8","48.296787377970389","49","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-09.json","48","50"
"第二题","Q2-10","1:1.00,3:0.40,8:0.75","62500","90",,,"90","92","24.549327277579852","25.1","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-10.json","51","53"
"第三题","Q3-01","1:1.00,50:0.70","10000","50","1000000","200","50","50.7","12.696829850657624","12.9","2","2","1","1.3289999999979043","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-01.json","54","55"
"第三题","Q3-02","1:1.00,7:0.55,40:0.80","12500","250","1250000","200","250","253.3","54.68376842079509","55.4","3","3","1","1.2969999999986612","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-02.json","56","58"
"第三题","Q3-03","1:1.00,25:0.80","20000","100","1500000","200","100","101.4","25.153847605937269","25.5","2","2","1","1.3289999999979043","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-03.json","59","60"
"第三题","Q3-04","1:1.00,6:0.65,19:0.45","25000","220","1800000","200","220","222.8","49.797466927882489","50.4","3","3","1","1.3120000000053551","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-04.json","61","63"
"第三题","Q3-05","1:1.00,3:0.65,9:0.85","40000","200","1000000","200","200","202.8","53.153480376187517","53.8","3","3","1","1.3279999999940628","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-05.json","64","66"
"第三题","Q3-06","1:1.00,4:0.50,10:0.80","50000","150","1250000","200","150","151.6","33.551560267549824","33.9","3","3","1","1.3280000000013388","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-06.json","67","69"
"第三题","Q3-07","1:1.00,2:0.65,8:0.85","62500","50","1500000","200","50","50.4","11.346334146053202","11.4","3","3","1","1.3280000000013388","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-07.json","70","72"
"第三题","Q3-08","1:1.00,6:0.70","80000","250","2000000","200","250","252.5","64.7142556699789","65.3","2","2","1","1.25","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-08.json","73","74"
"第三题","Q3-09","1:1.00,3:0.55,5:0.75","100000","180","1000000","200","180","182.3","54.867248205349938","55.5","3","3","1","1.3439999999973224","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-09.json","75","77"
"第三题","Q3-10","1:1.00,4:0.80","125000","50","1250000","200","50","50.4","13.091734509377529","13.2","2","2","1","1.2819999999992433","从波形配置完成后开始计时，含0.65 s稳定等待与5帧采集","5","0","True","Q3-10.json","78","79"
